relaxed 74: tempo: 10.828463800018653, nodi: 3241, explored_paths: 159, cost: 8
manhattan 75: tempo: 0.012394799996400252, nodi: 86, explored_paths: 4, cost: 4
subgoal 75: tempo: 0.010396099998615682, nodi: 86, explored_paths: 4, cost: 4
relaxed 75: tempo: 0.011817599995993078, nodi: 86, explored_paths: 4, cost: 4
manhattan 76: tempo: 0.6996868000132963, nodi: 806, explored_paths: 47, cost: 9
subgoal 76: tempo: 600.1336392999801, nodi: 32171, explored_paths: 1973, cost: 0
relaxed 76: tempo: 347.0824561000045, nodi: 23306, explored_paths: 1402, cost: 9
manhattan 77: tempo: 0.13022469999850728, nodi: 336, explored_paths: 18, cost: 7
subgoal 77: tempo: 8.306298300012713, nodi: 2891, explored_paths: 183, cost: 14
relaxed 77: tempo: 80.05001530001755, nodi: 10766, explored_paths: 625, cost: 7
manhattan 78: tempo: 0.15314119998947717, nodi: 366, explored_paths: 20, cost: 6
subgoal 78: tempo: 32.00079900000128, nodi: 5506, explored_paths: 258, cost: 11
relaxed 78: tempo: 0.0350447999953758, nodi: 161, explored_paths: 8, cost: 5
manhattan 79: tempo: 0.011628499982180074, nodi: 86, explored_paths: 6, cost: 4
subgoal 79: tempo: 0.1059769999992568, nodi: 306, explored_paths: 17, cost: 7
relaxed 79: tempo: 0.05756290000863373, nodi: 226, explored_paths: 14, cost: 4
manhattan 80: tempo: 0.23161710001295432, nodi: 461, explored_paths: 24, cost: 7
subgoal 80: tempo: 14.347417299984954, nodi: 3591, explored_paths: 189, cost: 21
relaxed 80: tempo: 412.8821464999928, nodi: 21471, explored_paths: 1206, cost: 7
manhattan 81: tempo: 0.5354410000145435, nodi: 681, explored_paths: 33, cost: 10
subgoal 81: tempo: 0.4698777000012342, nodi: 636, explored_paths: 36, cost: 10
relaxed 81: tempo: 79.24794839997776, nodi: 8806, explored_paths: 442, cost: 8
manhattan 82: tempo: 0.021129700005985796, nodi: 121, explored_paths: 5, cost: 4
subgoal 82: tempo: 4.601293899992015, nodi: 2166, explored_paths: 117, cost: 7
relaxed 82: tempo: 0.019608600006904453, nodi: 116, explored_paths: 5, cost: 4
